Diane Abbott
Geoffrey Johnson Smith
Barry Jones
Fiona Jones
Helen Jones
Ieuan Wyn Jones
Jenny Jones
Jon Owen Jones
Lynne Jones
Martyn Jones
Nigel Jones
Tessa Jowell
Gerald Kaufman
Sally Keeble
Alan Keen
Ann Keen
Paul Keetch
Ruth Kelly
Fraser Kemp
Charles Kennedy
Jane Kennedy
Robert Key
Piara S Khabra
David Kidney
Peter Kilfoyle
Andy King
Oona King
Tom King
Tess Kingham
Julie Kirkbride
Archy Kirkwood
Ashok Kumar
Stephen Ladyman
Eleanor Laing
Andrew Lansley
Jackie Lawrence
Bob Laxton
Edward Leigh
David Lepper
Christopher Leslie
Oliver Letwin
Tom Levitt
Ivan Lewis
Julian Lewis
Terry Lewis
Helen Liddell
David Lidington
Peter Lilley
Martin Linton
Ken Livingstone
Richard Livsey
Peter Lloyd
Tony Lloyd
Elfyn Llwyd
David Lock
Michael Lord
Tim Loughton
Andrew Love
Peter Luff
Nicholas Lyell
John McAllion
Thomas McAvoy
Stephen McCabe
Chris McCafferty
Ian McCartney
Robert McCartney
Siobhain McDonagh
Calum MacDonald
John McDonnell
John McFall
Eddie McGrady
John MacGregor
Anne McGuire
Anne McIntosh
Shona McIsaac
Andrew MacKay
Rosemary McKenna
Andrew MacKinlay
David Maclean
Henry McLeish
Robert Maclennan
Patrick McLoughlin
Gordon McMaster
Kevin McNamara
Tony McNulty
Denis MacShane
Fiona Mactaggart
Tony McWalter
John McWilliam
David Madel
Ken Maginnis
Alice Mahon
John Major
Humfrey Malins
Judy Mallaber
Seamus Mallon
Peter Mandelson
John Maples
John Marek
Gordon Marsden
Paul Marsden
David Marshall
Jim Marshall
Robert Marshall-Andrews
Eric Martlew
Michael Mates
Francis Maude
Brian Mawhinney
John Maxton
Theresa May
Michael Meacher
Alan Meale
Piers Merchant
Gillian Merron
Alun Michael
Bill Michie
Ray Michie
Alan Milburn
Andrew Miller
Austin Mitchell
Laura Moffatt
Lewis Moonie
Michael Moore
Margaret Moran
Alasdair Morgan
Julie Morgan
Rhodri Morgan
Elliot Morley
Estelle Morris
John Morris
Malcolm Moss
Kali Mountford
Mo Mowlam
George Mudie
Chris Mullin
Denis Murphy
Jim Murphy
Paul Murphy
Doug Naysmith
Patrick Nicholls
Archie Norman
Dan Norris
Mark Oaten
Bill O&#39;Brien
Mike O&#39;Brien
Edward O&#39;Hara
Bill Olner
Martin O&#39;Neill
Lembit &Ouml;pik
Diana Organ
Sandra Osborne
Richard Ottaway
Richard Page
James Paice
Ian Paisley
Nick Palmer
Owen Paterson
Ian Pearson
Tom Pendry
Linda Perham
Eric Pickles
Colin Pickthall
Peter Pike
James Plaskitt
Kerry Pollard
Chris Pond
Greg Pope
Stephen Pound
Raymond Powell
Bridget Prentice
Gordon Prentice
John Prescott
Dawn Primarolo
David Prior
Gwyn Prosser
Ken Purchase
Joyce Quin
Lawrie Quinn
Giles Radice
Bill Rammell
Syd Rapson
Nick Raynsford
John Redwood
Andy Reed
John Reid
David Rendel
Andrew Robathan
George Robertson
Laurence Robertson
Geoffrey Robinson
Peter Robinson
Barbara Roche
Marion Roe
Allan Rogers
Jeff Rooker
Terry Rooney
Ernie Ross
William Ross
Andrew Rowe
Ted Rowlands
Frank Roy
Chris Ruane
Joan Ruddock
David Ruffley
Bob Russell
Christine Russell
Joan Ryan
Nick St Aubyn
Alex Salmond
Martin Salter
Adrian Sanders
Mohammad Sarwar
Malcolm Savidge
Phil Sawford
Jonathan Sayeed
Brian Sedgemore
Jonathan R Shaw
Barry Sheerman
Robert Sheldon
Gillian Shephard
Richard Shepherd
Debra Shipley
Clare Short
Alan Simpson
Keith Simpson
Marsha Singh
Dennis Skinner
Andrew Smith
Angela Smith
Chris Smith
Geraldine Smith
Jacqui Smith
John Smith
Llew Smith
Robert Smith
Martin Smyth
Peter Snape
Nicholas Soames
Clive Soley
Helen Southworth
John Spellar
Caroline Spelman
Michael Spicer
Richard Spring
Rachel Squire
John Stanley
Phyllis Starkey
Anthony Steen
Gerry Steinberg
George Stevenson
David Stewart
Ian Stewart
Paul Stinchcombe
Howard Stoate
Roger Stott
Gavin Strang
Jack Straw
Gary Streeter
Graham Stringer
Gisela Stuart
Andrew Stunell
Gerry Sutcliffe
Desmond Swayne
John Swinney
Robert Syms
Peter Tapsell
Ann Taylor
Dari Taylor
David Taylor
Ian Taylor
John Taylor
John D Taylor
Matthew Taylor
Teddy Taylor
Peter Temple-Morris
Gareth Thomas
Gareth Thomas
William Thompson
Stephen Timms
Paddy Tipping
Mark Todd
Jenny Tonge
Don Touhig
John Townend
David Tredinnick
Michael Trend
Jon Trickett
David Trimble
Paul Truswell
Dennis Turner
Desmond Turner
George Turner
Derek Twigg
Stephen Twigg
Paul Tyler
Andrew Tyrie
Keith Vaz
Peter Viggers
Rudi Vis
Cecil Walker
Jim Wallace
Joan Walley
Robert Walter
Claire Ward
Charles Wardle
Robert Wareing
Nigel Waterson
Dave Watts
Steve Webb
Bowen Wells
Andrew Welsh
Brian White
Alan Whitehead
Ray Whitney
John Whittingdale
Malcolm Wicks
Ann Widdecombe
Dafydd Wigley
John Wilkinson
David Willetts
Alan Williams
Alan Williams
Betty Williams
Phil Willis
Michael Wills
David Wilshire
Brian Wilson
David Winnick
Ann Winterton
Nicholas Winterton
Rosie Winterton
Audrey Wise
Mike Wood
Shaun Woodward
Phil Woolas
Tony Worthington
Jimmy Wray
Anthony D Wright
Tony Wright
Derek Wyatt
Tim Yeo
George Young
John Randall
Douglas Alexander
Jacqui Lait
Mark Oaten
Peter Temple-Morris
Peter Temple-Morris
Tommy Graham
Dennis Canavan
Fiona Jones
Hilary Benn
Stephen O&#39;Brien
Bill Tynan
Neil Turner
Michael Portillo
Shaun Woodward
Simon Thomas
Ken Livingstone
Sandra Gidley
David Lammy
William McCrea
Mark Hendrick
Adrian Bailey
John Robertson
Eric Joyce
